n_plus_2 student step=5940/20000 loss=0.55584 lr=1.562e-04
n_plus_2 student step=5960/20000 loss=0.55033 lr=1.560e-04
n_plus_2 student step=5980/20000 loss=0.55380 lr=1.558e-04
n_plus_2 student step=6000/20000 loss=0.56148 lr=1.556e-04
n_plus_2 student step=6020/20000 loss=0.54292 lr=1.553e-04
n_plus_2 student step=6040/20000 loss=0.54803 lr=1.551e-04
n_plus_2 student step=6060/20000 loss=0.54744 lr=1.549e-04
n_plus_2 student step=6080/20000 loss=0.56191 lr=1.547e-04
n_plus_2 student step=6100/20000 loss=0.55593 lr=1.544e-04
n_plus_2 student step=6120/20000 loss=0.55004 lr=1.542e-04
n_plus_2 student step=6140/20000 loss=0.55161 lr=1.540e-04
n_plus_2 student step=6160/20000 loss=0.56387 lr=1.538e-04
n_plus_2 student step=6180/20000 loss=0.54556 lr=1.536e-04
n_plus_2 student step=6200/20000 loss=0.54984 lr=1.533e-04
n_plus_2 student step=6220/20000 loss=0.55158 lr=1.531e-04
n_plus_2 student step=6240/20000 loss=0.53624 lr=1.529e-04
n_plus_2 student step=6260/20000 loss=0.53712 lr=1.527e-04
n_plus_2 student step=6280/20000 loss=0.54587 lr=1.524e-04
n_plus_2 student step=6300/20000 loss=0.54459 lr=1.522e-04
n_plus_2 student step=6320/20000 loss=0.55190 lr=1.520e-04
n_plus_2 student step=6340/20000 loss=0.55056 lr=1.518e-04
n_plus_2 student step=6360/20000 loss=0.56111 lr=1.516e-04
n_plus_2 student step=6380/20000 loss=0.55148 lr=1.513e-04
n_plus_2 student step=6400/20000 loss=0.55242 lr=1.511e-04
n_plus_2 student step=6420/20000 loss=0.53934 lr=1.509e-04
n_plus_2 student step=6440/20000 loss=0.53940 lr=1.507e-04
n_plus_2 student step=6460/20000 loss=0.55458 lr=1.504e-04
n_plus_2 student step=6480/20000 loss=0.54332 lr=1.502e-04
n_plus_2 student step=6500/20000 loss=0.54556 lr=1.500e-04
n_plus_2 student step=6520/20000 loss=0.54925 lr=1.498e-04
n_plus_2 student step=6540/20000 loss=0.55315 lr=1.496e-04
n_plus_2 student step=6560/20000 loss=0.55354 lr=1.493e-04
n_plus_2 student step=6580/20000 loss=0.54217 lr=1.491e-04
n_plus_2 student step=6600/20000 loss=0.53846 lr=1.489e-04
n_plus_2 student step=6620/20000 loss=0.54333 lr=1.487e-04
n_plus_2 student step=6640/20000 loss=0.54722 lr=1.484e-04
n_plus_2 student step=6660/20000 loss=0.54239 lr=1.482e-04
n_plus_2 student step=6680/20000 loss=0.54141 lr=1.480e-04
n_plus_2 student step=6700/20000 loss=0.54819 lr=1.478e-04
n_plus_2 student step=6720/20000 loss=0.53646 lr=1.476e-04
n_plus_2 student step=6740/20000 loss=0.54303 lr=1.473e-04
n_plus_2 student step=6760/20000 loss=0.55372 lr=1.471e-04
n_plus_2 student step=6780/20000 loss=0.53675 lr=1.469e-04
n_plus_2 student step=6800/20000 loss=0.56205 lr=1.467e-04
n_plus_2 student step=6820/20000 loss=0.53385 lr=1.464e-04
n_plus_2 student step=6840/20000 loss=0.54449 lr=1.462e-04
n_plus_2 student step=6860/20000 loss=0.54529 lr=1.460e-04
n_plus_2 student step=6880/20000 loss=0.55858 lr=1.458e-04
n_plus_2 student step=6900/20000 loss=0.54094 lr=1.456e-04
n_plus_2 student step=6920/20000 loss=0.56115 lr=1.453e-04
n_plus_2 student step=6940/20000 loss=0.53122 lr=1.451e-04
n_plus_2 student step=6960/20000 loss=0.54617 lr=1.449e-04
n_plus_2 student step=6980/20000 loss=0.54084 lr=1.447e-04
n_plus_2 student step=7000/20000 loss=0.55230 lr=1.444e-04
n_plus_2 student step=7020/20000 loss=0.54221 lr=1.442e-04
n_plus_2 student step=7040/20000 loss=0.54303 lr=1.440e-04
n_plus_2 student step=7060/20000 loss=0.55429 lr=1.438e-04
n_plus_2 student step=7080/20000 loss=0.54506 lr=1.436e-04
n_plus_2 student step=7100/20000 loss=0.54559 lr=1.433e-04
n_plus_2 student step=7120/20000 loss=0.55393 lr=1.431e-04
n_plus_2 student step=7140/20000 loss=0.56168 lr=1.429e-04
n_plus_2 student step=7160/20000 loss=0.55807 lr=1.427e-04
n_plus_2 student step=7180/20000 loss=0.54065 lr=1.424e-04
n_plus_2 student step=7200/20000 loss=0.54145 lr=1.422e-04
n_plus_2 student step=7220/20000 loss=0.53235 lr=1.420e-04
n_plus_2 student step=7240/20000 loss=0.54204 lr=1.418e-04
n_plus_2 student step=7260/20000 loss=0.54963 lr=1.416e-04
n_plus_2 student step=7280/20000 loss=0.55106 lr=1.413e-04
n_plus_2 student step=7300/20000 loss=0.55367 lr=1.411e-04
n_plus_2 student step=7320/20000 loss=0.54698 lr=1.409e-04
n_plus_2 student step=7340/20000 loss=0.53546 lr=1.407e-04
n_plus_2 student step=7360/20000 loss=0.54514 lr=1.404e-04
n_plus_2 student step=7380/20000 loss=0.55443 lr=1.402e-04
n_plus_2 student step=7400/20000 loss=0.54538 lr=1.400e-04
n_plus_2 student step=7420/20000 loss=0.53827 lr=1.398e-04
n_plus_2 student step=7440/20000 loss=0.55312 lr=1.396e-04
n_plus_2 student step=7460/20000 loss=0.55354 lr=1.393e-04
