edge_id,head_id,relation_type,tail_id,confidence,evidence_ids,properties_json,graph_scope,active
edge_5a2198b0d73ca50ac6b6,kg_datasetrecord_dr_bcd4080e9602a76762f3,has_repeat_unit,kg_repeatunit_ru_05982504a0b1abfd8765,1.0,[],{},strict,true
edge_5a24cf19549c06e06a32,kg_repeatunit_ru_8e356522addec43696ea,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a2841660b41c84921f2,kg_datasetrecord_dr_da6feee023ee58a2a59b,has_repeat_unit,kg_repeatunit_ru_d61eb952b927c8f822d0,1.0,[],{},strict,true
edge_5a2b9f4e178c212f96c6,kg_datasetrecord_dr_d287850b74ebdc1c7df0,has_repeat_unit,kg_repeatunit_ru_c526cc0405709c0ad5cc,1.0,[],{},strict,true
edge_5a2dd297b9ff1b9c887f,kg_datasetrecord_dr_5ab218e400408ca9303d,has_repeat_unit,kg_repeatunit_ru_3831d01d57a11f91bc45,1.0,[],{},strict,true
edge_5a33914d97140dd18d04,kg_datasetrecord_dr_ebf1fb9c633bc41dfcc1,has_repeat_unit,kg_repeatunit_ru_dfcf3d12a7944f4a12c5,1.0,[],{},strict,true
edge_5a3bc90a569de8f3e314,kg_datasetrecord_dr_a09b92402169bf5f700b,has_repeat_unit,kg_repeatunit_ru_ce076fda4681c58bab78,1.0,[],{},strict,true
edge_5a4395896240249551a8,kg_datasetrecord_dr_1bca5d2925e64d83718e,has_repeat_unit,kg_repeatunit_ru_3536d5984dcc27980b5e,1.0,[],{},strict,true
edge_5a489921ab4656b2df5f,kg_datasetrecord_dr_1b59a1cedf5dd8841ed3,has_repeat_unit,kg_repeatunit_ru_c2275aa05f73cfc12140,1.0,[],{},strict,true
edge_5a4de3cf0a9800eacc54,kg_datasetrecord_dr_455a120db916bc57d02b,has_repeat_unit,kg_repeatunit_ru_2a698d060b265e7046f7,1.0,[],{},strict,true
edge_5a569975cd221ade6a0e,kg_datasetrecord_dr_9387d242aabeca3a990c,has_repeat_unit,kg_repeatunit_ru_b4539dc4fd44a8a8a0f9,1.0,[],{},strict,true
edge_5a5890900bc2d91222b6,kg_repeatunit_ru_b60fce259e21172886fd,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a5ab9fed011a61102fd,kg_datasetrecord_dr_e0698724b25ef20cfc44,has_repeat_unit,kg_repeatunit_ru_1b9a8ffcd2040cb42cf9,1.0,[],{},strict,true
