+ torchrun --standalone --nproc_per_node=3 scripts/pretrain_mts_glt_distill.py --config configs/mts/glt_distill_repair_c2.json --stage student --teacher-checkpoint /root/workspace/Uni-Poly-Plus-master/results/mts_glt_distill_repair_control/c2/teacher/teacher_005k.pt --resume /root/workspace/Uni-Poly-Plus-master/results/mts_glt_distill_repair_control/c2/student/student_007k.pt
W0909 11:48:11.045000 2513 site-packages/torch/distributed/run.py:774] 
W0909 11:48:11.045000 2513 site-packages/torch/distributed/run.py:774] *****************************************
W0909 11:48:11.045000 2513 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0909 11:48:11.045000 2513 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
n_plus_2 student step=9580/20000 loss=0.54547 lr=1.158e-04
n_plus_2 student step=9600/20000 loss=0.54160 lr=1.156e-04
n_plus_2 student step=9620/20000 loss=0.54798 lr=1.153e-04
n_plus_2 student step=9640/20000 loss=0.56332 lr=1.151e-04
n_plus_2 student step=9660/20000 loss=0.54346 lr=1.149e-04
n_plus_2 student step=9680/20000 loss=0.54656 lr=1.147e-04
n_plus_2 student step=9700/20000 loss=0.54771 lr=1.144e-04
n_plus_2 student step=9720/20000 loss=0.53407 lr=1.142e-04
n_plus_2 student step=9740/20000 loss=0.54895 lr=1.140e-04
n_plus_2 student step=9760/20000 loss=0.54841 lr=1.138e-04
n_plus_2 student step=9780/20000 loss=0.54149 lr=1.136e-04
n_plus_2 student step=9800/20000 loss=0.54946 lr=1.133e-04
n_plus_2 student step=9820/20000 loss=0.54902 lr=1.131e-04
n_plus_2 student step=9840/20000 loss=0.54336 lr=1.129e-04
n_plus_2 student step=9860/20000 loss=0.54735 lr=1.127e-04
n_plus_2 student step=9880/20000 loss=0.54174 lr=1.124e-04
n_plus_2 student step=9900/20000 loss=0.56353 lr=1.122e-04
n_plus_2 student step=9920/20000 loss=0.54617 lr=1.120e-04
n_plus_2 student step=9940/20000 loss=0.54998 lr=1.118e-04
n_plus_2 student step=9960/20000 loss=0.53711 lr=1.116e-04
n_plus_2 student step=9980/20000 loss=0.54779 lr=1.113e-04
n_plus_2 student step=10000/20000 loss=0.55449 lr=1.111e-04
n_plus_2 student step=10020/20000 loss=0.54683 lr=1.109e-04
n_plus_2 student step=10040/20000 loss=0.54940 lr=1.107e-04
n_plus_2 student step=10060/20000 loss=0.54731 lr=1.104e-04
n_plus_2 student step=10080/20000 loss=0.54239 lr=1.102e-04
n_plus_2 student step=10100/20000 loss=0.55189 lr=1.100e-04
n_plus_2 student step=10120/20000 loss=0.54860 lr=1.098e-04
n_plus_2 student step=10140/20000 loss=0.54504 lr=1.096e-04
n_plus_2 student step=10160/20000 loss=0.54883 lr=1.093e-04
n_plus_2 student step=10180/20000 loss=0.54127 lr=1.091e-04
n_plus_2 student step=10200/20000 loss=0.54220 lr=1.089e-04
n_plus_2 student step=10220/20000 loss=0.53764 lr=1.087e-04
n_plus_2 student step=10240/20000 loss=0.54818 lr=1.084e-04
n_plus_2 student step=10260/20000 loss=0.55341 lr=1.082e-04
n_plus_2 student step=10280/20000 loss=0.54001 lr=1.080e-04
n_plus_2 student step=10300/20000 loss=0.54266 lr=1.078e-04
n_plus_2 student step=10320/20000 loss=0.54602 lr=1.076e-04
n_plus_2 student step=10340/20000 loss=0.53584 lr=1.073e-04
n_plus_2 student step=10360/20000 loss=0.54421 lr=1.071e-04
n_plus_2 student step=10380/20000 loss=0.54040 lr=1.069e-04
n_plus_2 student step=10400/20000 loss=0.54468 lr=1.067e-04
n_plus_2 student step=10420/20000 loss=0.54027 lr=1.064e-04
n_plus_2 student step=10440/20000 loss=0.53780 lr=1.062e-04
n_plus_2 student step=10460/20000 loss=0.54854 lr=1.060e-04
n_plus_2 student step=10480/20000 loss=0.55509 lr=1.058e-04
n_plus_2 student step=10500/20000 loss=0.53828 lr=1.056e-04
n_plus_2 student step=10520/20000 loss=0.54394 lr=1.053e-04
n_plus_2 student step=10540/20000 loss=0.54472 lr=1.051e-04
n_plus_2 student step=10560/20000 loss=0.54048 lr=1.049e-04
n_plus_2 student step=10580/20000 loss=0.54464 lr=1.047e-04
n_plus_2 student step=10600/20000 loss=0.54138 lr=1.044e-04
n_plus_2 student step=10620/20000 loss=0.55742 lr=1.042e-04
n_plus_2 student step=10640/20000 loss=0.55274 lr=1.040e-04
n_plus_2 student step=10660/20000 loss=0.55246 lr=1.038e-04
n_plus_2 student step=10680/20000 loss=0.54913 lr=1.036e-04
n_plus_2 student step=10700/20000 loss=0.55096 lr=1.033e-04
n_plus_2 student step=10720/20000 loss=0.53655 lr=1.031e-04
n_plus_2 student step=10740/20000 loss=0.55887 lr=1.029e-04
n_plus_2 student step=10760/20000 loss=0.53883 lr=1.027e-04
n_plus_2 student step=10780/20000 loss=0.55409 lr=1.024e-04
n_plus_2 student step=10800/20000 loss=0.54381 lr=1.022e-04
n_plus_2 student step=10820/20000 loss=0.54292 lr=1.020e-04
n_plus_2 student step=10840/20000 loss=0.54850 lr=1.018e-04
n_plus_2 student step=10860/20000 loss=0.53840 lr=1.016e-04
n_plus_2 student step=10880/20000 loss=0.52679 lr=1.013e-04
n_plus_2 student step=10900/20000 loss=0.54360 lr=1.011e-04
